url	filename	size	sha256
http://deb.debian.org/debian/pool/main/f/findutils/findutils_4.10.0.orig.tar.xz	findutils_4.10.0.orig.tar.xz	2240712	1387e0b67ff247d2abde998f90dfbf70c1491391a59ddfecb8ae698789f0a4f5
http://deb.debian.org/debian/pool/main/f/findutils/findutils_4.10.0.orig.tar.xz.asc	findutils_4.10.0.orig.tar.xz.asc	488	7f53670eea6bd114e014571221eb652855c1129a3ed99f2a9257c2a313cc216f
http://deb.debian.org/debian/pool/main/f/findutils/findutils_4.10.0-3.debian.tar.xz	findutils_4.10.0-3.debian.tar.xz	33364	7d19668508523a6fcfb7731f5646305a8b1a00a3105ee3f0a5f167adf93a8a46
http://deb.debian.org/debian/pool/main/g/gcc-14/gcc-14_14.2.0-19.dsc	gcc-14_14.2.0-19.dsc	47347	7db1e202cce66617e9134a662c877a3a773de5b612fd52179815877e0ecfb847
http://deb.debian.org/debian/pool/main/g/gcc-14/gcc-14_14.2.0.orig.tar.gz	gcc-14_14.2.0.orig.tar.gz	94299633	e162a5ef3f0077ecae598c6556908d2ab80841532df3398072a96a6df6e6aa29
http://deb.debian.org/debian/pool/main/g/gcc-14/gcc-14_14.2.0-19.debian.tar.xz	gcc-14_14.2.0-19.debian.tar.xz	2577016	31cbab4bafa48aa1c540497bd8098cbcf98e673778f927651ed944709f687781
http://deb.debian.org/debian/pool/main/g/gdbm/gdbm_1.24-2.dsc	gdbm_1.24-2.dsc	2466	28acecf1cf00240942833c04079a02bb4c199a48faa1f4ca90f0ea9b79dc5841
http://deb.debian.org/debian/pool/main/g/gdbm/gdbm_1.24.orig.tar.gz	gdbm_1.24.orig.tar.gz	1195931	695e9827fdf763513f133910bc7e6cfdb9187943a4fec943e57449723d2b8dbf
http://deb.debian.org/debian/pool/main/g/gdbm/gdbm_1.24.orig.tar.gz.asc	gdbm_1.24.orig.tar.gz.asc	195	8fb2f87e817ed6bd1d7ef2ab976f6a0046814a5ff28a06c521b796e0d3fd1226
http://deb.debian.org/debian/pool/main/g/gdbm/gdbm_1.24-2.debian.tar.xz	gdbm_1.24-2.debian.tar.xz	16880	736d23450674c1bf0b03a2f65b83870b0801bc3747df3099df970c1479b0ab63
http://deb.debian.org/debian/pool/main/g/glibc/glibc_2.41-12%2bdeb13u3.dsc	glibc_2.41-12+deb13u3.dsc	7576	aa1ab10010fcf169454a5c6a123094a3997392922593d86a3a5adc180a07ca40
http://deb.debian.org/debian/pool/main/g/glibc/glibc_2.41.orig.tar.xz	glibc_2.41.orig.tar.xz	20323540	f24aa441021121a79266f0d75242706cab8843a47901fefe74527491807f1998
